player_id,team_id,league_id,position,role,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,second_nation_id,weight,height,retired,free_agent,last_league_id,last_team_id,organization_id,last_organization_id,language_ids0,language_ids1,uniform_number,experience,person_type,bats,throws,personality_greed,personality_loyalty,personality_play_for_winner,personality_work_ethic,personality_intelligence,personality_leader,historical_id,historical_team_id,best_contract_offer_id,injury_is_injured,injury_dtd_injury,injury_career_ending,injury_dl_left,injury_dl_playoff_round,injury_left,dtd_injury_effect,injury_id,prone_overall,prone_leg,prone_back,prone_arm,fatigue_pitches0,fatigue_pitches1,fatigue_pitches2,fatigue_pitches3,fatigue_pitches4,fatigue_pitches5,fatigue_points,fatigue_played_today,running_ratings_speed,running_ratings_stealing,running_ratings_baserunning,college,draft_year,draft_round,draft_supplemental,draft_pick,draft_overall_pick,draft_eligible,hidden,draft_league_id,draft_team_id,turned_coach,hall_of_fame,rust,inducted,strategy_override_team,strategy_stealing,strategy_running,strategy_bunt_for_hit,strategy_sac_bunt,strategy_hit_run,strategy_hook_start,strategy_hook_relief,strategy_pitch_count,strategy_pitch_around,strategy_no_pinch_if_rested,strategy_never_pinch_hit,strategy_defensive_sub,strategy_dtd_sit_min,strategy_dtd_allow_ph,local_pop,national_pop,draft_protected,morale,morale_player_performance,morale_team_performance,morale_team_transactions,expectation,morale_player_role
11,1,100,3,0,"Joe","Hague","",28,"1944-4-25",33056,206,0,198,183,0,0,0,0,1,0,0,-1,12,4,0,2,2,86,98,74,113,23,123,"haguejo01","SLN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,49,115,79,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-37,0,6,0
12,1,100,1,12,"Tom","Hall","",24,"1947-11-23",79709,206,0,155,183,0,0,0,0,1,0,0,-1,21,4,0,2,2,91,74,120,100,200,91,"hallto01","CIN",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,9,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-42,0,4,0
13,1,100,4,0,"Julian","Javier","",36,"1936-8-9",0,56,0,175,185,0,0,0,0,1,0,1,0,17,12,0,1,1,97,40,127,130,108,119,"javieju01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,65,136,137,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-42,480,6,0
14,1,100,1,11,"Jim","McGlothlin","Red",28,"1943-10-6",41955,206,0,185,185,0,0,0,0,1,0,0,-1,31,7,0,1,1,82,81,99,101,129,97,"mcgloji01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9,11,22,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,3,0
15,1,100,9,0,"Hal","McRae","",27,"1945-7-10",5096,206,0,180,180,0,0,0,0,1,0,0,-1,11,3,0,1,1,123,129,105,121,135,128,"mcraeha01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,17,0,32,115,74,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,0,-40,435,2,0
16,1,100,5,0,"Denis","Menke","",32,"1940-7-21",0,206,0,190,183,0,0,0,0,1,0,0,-1,16,10,0,1,1,78,89,88,164,53,80,"menkede01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,20,0,10,17,25,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-38,0,2,0
17,1,100,4,0,"Joe L","Morgan","",29,"1943-9-19",10666,206,0,160,170,0,0,0,0,1,0,0,-1,8,9,0,2,1,53,119,61,45,54,78,"morgajo02","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,21,0,181,175,182,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,0,0,-36,0,7,0
18,1,100,1,11,"Gary","Nolan","",24,"1948-5-27",0,206,0,197,188,0,0,0,0,1,0,0,-1,38,5,0,1,1,123,114,82,88,88,93,"nolanga01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,1,0,0,0,0,-443,3,0
19,1,100,3,0,"Tony","Perez","",30,"1942-5-14",0,49,0,205,188,0,0,0,0,1,0,1,-1,24,8,0,1,1,116,93,108,91,99,82,"perezto01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,15,0,25,137,108,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,0,0,-40,0,2,0
20,1,100,2,0,"Bill","Plummer","",25,"1947-3-21",56459,206,0,200,185,0,0,0,0,1,0,0,-1,9,3,0,1,1,114,102,117,95,145,81,"plummbi01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,17,31,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-449,6,0
21,1,100,7,0,"Pete","Rose Sr","Charlie Hustle",31,"1941-4-14",13776,206,0,200,180,0,0,0,0,1,0,0,-1,63,9,0,3,1,198,75,103,109,85,91,"rosepe01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,20,0,46,133,122,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,0,0,-40,0,2,0
22,1,100,1,11,"Wayne","Simpson","",23,"1948-12-2",41955,206,0,220,191,0,0,0,0,1,0,0,-1,45,2,0,1,1,90,170,109,114,79,106,"simpswa01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10,11,50,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-40,415,3,0
23,1,100,1,12,"Ed","Sprague Sr","",27,"1945-9-16",10948,206,0,195,193,0,0,0,0,1,0,0,1,44,3,0,1,1,101,83,83,174,106,64,"spraged01","CIN",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,10,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-38,458,4,0
24,1,100,8,0,"Bobby","Tolan","",26,"1945-11-19",41955,206,0,170,180,0,0,0,0,1,0,0,1,28,6,0,2,2,86,114,101,80,84,150,"tolanbo01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,20,0,177,157,177,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-40,0,2,0
25,1,100,7,0,"Ted","Uhlaender","",32,"1939-10-21",13179,206,0,190,188,0,0,0,0,1,0,0,-1,22,7,0,2,1,129,73,165,94,52,72,"uhlaete01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,83,114,88,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
26,2,100,9,0,"Matty","Alou","",33,"1938-12-22",0,56,0,160,175,0,0,0,0,2,0,1,-1,17,12,0,2,2,172,41,178,101,98,59,"alouma01","SLN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,0,66,139,107,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,27,0,2,0
27,2,100,5,0,"Sal","Bando","",28,"1944-2-13",14082,206,0,205,183,0,0,0,0,2,0,0,-1,6,6,0,1,1,163,5,197,86,108,23,"bandosa01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,0,23,137,61,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,29,0,2,0
28,2,100,1,11,"Vida","Blue","",23,"1949-7-28",47812,206,0,189,183,0,0,0,0,2,0,0,-1,35,3,0,3,2,124,103,107,14,87,60,"bluevi01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7,11,37,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,2,0,0,50,20,0,3,0
29,2,100,6,0,"Bert","Campaneris","Campy",30,"1942-3-9",0,49,0,160,178,0,0,0,0,2,0,1,0,19,8,0,1,1,104,130,125,86,79,94,"campabe01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,0,180,172,188,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,22,0,2,0
30,2,100,4,0,"Tim","Cullen","",30,"1942-2-16",69999,206,0,185,185,0,0,0,0,2,0,0,-1,16,6,0,1,1,124,115,92,112,149,156,"culleti01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,36,126,153,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,0,0,6,0
31,2,100,2,0,"Dave","Duncan","",27,"1945-9-26",21777,206,0,200,188,0,0,0,0,2,0,0,-1,10,6,0,1,1,80,85,105,189,71,79,"duncada01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,31,101,22,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,20,0,6,0
32,2,100,3,0,"Mike","Epstein","Superjew",29,"1943-4-4",0,206,0,230,191,0,0,0,0,2,0,0,-1,5,6,0,2,2,104,93,154,177,71,114,"epstemi01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10,11,20,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,0,50,25,0,2,0
33,2,100,1,13,"Rollie","Fingers","",26,"1946-8-25",76233,206,0,195,193,0,0,0,0,2,0,0,1,34,4,0,1,1,73,116,62,93,101,129,"fingero01","OAK",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,28,0,32,0,7,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,1,0,0,50,16,0,4,0
34,2,100,4,0,"Dick","Green","",31,"1941-4-21",74315,206,0,180,178,0,0,0,0,2,0,0,-1,1,9,0,1,1,189,6,188,76,117,1,"greendi01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,21,0,28,60,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,28,497,6,0
35,2,100,1,12,"Dave","Hamilton","",24,"1947-12-13",72460,206,0,190,183,0,0,0,0,2,0,0,-1,33,0,0,2,2,29,105,35,103,98,65,"hamilda01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,11,16,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,0,0,3,0
36,2,100,3,0,"Mike","Hegan","",30,"1942-7-21",14082,206,0,190,185,0,0,0,0,2,0,0,1,20,6,0,2,2,125,171,72,20,74,89,"heganmi01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9,31,41,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,0,0,2,0
37,2,100,8,0,"George","Hendrick","",22,"1949-10-18",41955,206,0,195,191,0,0,0,0,2,0,0,-1,25,1,0,1,1,98,80,100,107,151,98,"hendrge01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,115,134,150,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,20,460,6,0
38,2,100,1,11,"Ken","Holtzman","",26,"1945-11-3",69095,206,0,175,188,0,0,0,0,2,0,0,-1,30,7,0,1,2,78,113,125,117,81,99,"holtzke01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,84,0,100,0,9,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,2,0,0,70,22,0,3,0
39,2,100,1,11,"Joe","Horlen","",35,"1937-8-14",69776,206,0,175,183,0,0,0,0,2,0,0,-1,22,11,0,1,1,199,97,181,112,81,82,"horlejo01","OAK",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,7,11,29,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,0,-451,3,0
40,2,100,1,11,"Catfish","Hunter","Jim",26,"1946-4-8",31572,206,0,195,183,0,0,0,0,2,0,0,1,27,7,0,1,1,83,161,103,119,121,119,"hunteca01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,21,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,0,50,0,-419,3,0
41,2,100,4,0,"Ted","Kubiak","",30,"1942-5-12",55066,206,0,175,183,0,0,0,0,2,0,0,-1,7,5,0,3,1,98,109,74,174,82,98,"kubiate01","TEX",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,26,97,97,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,0,0,6,0
42,2,100,7,0,"Allan","Lewis","The Panamanian Express",30,"1941-12-12",0,145,0,170,183,0,0,0,0,2,0,1,-1,24,4,0,3,1,94,92,82,82,80,43,"lewisal01","OAK",0,0,0,0,0,0,0,0,0,45,45,45,45,0,0,0,0,0,0,0,0,136,161,72,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,18,454,6,0
43,2,100,1,11,"Bob","Locker","",34,"1938-3-15",28180,206,0,200,191,0,0,0,0,2,0,0,-1,36,7,0,3,1,178,13,199,122,60,44,"lockebo02","OAK",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,8,21,38,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,0,0,0,50,0,-493,4,0
44,2,100,8,0,"Angel","Mangual","",25,"1947-3-19",0,151,0,180,178,0,0,0,0,2,0,1,-1,2,2,0,1,1,128,95,126,161,101,85,"manguan01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,0,25,97,52,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,22,0,6,0
45,2,100,3,0,"Gonzalo","Marquez","",26,"1946-3-31",0,210,0,180,180,0,0,0,0,2,0,0,-1,12,0,0,2,2,108,87,103,6,12,78,"marqugo01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,46,115,122,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,20,456,6,0
46,2,100,4,0,"Dal","Maxvill","",33,"1939-2-18",29541,206,0,160,180,0,0,0,0,2,0,0,-1,27,10,0,1,1,95,71,114,80,81,152,"maxvida01","SLN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,0,-464,6,0
47,2,100,3,0,"Don","Mincher","",34,"1938-6-24",33063,206,0,213,191,0,0,0,0,2,0,0,1,5,12,0,2,1,71,94,102,19,94,96,"minchdo01","TEX",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,16,0,42,104,82,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,20,0,6,0
48,2,100,1,11,"Blue Moon","Odom","",27,"1945-5-29",46460,206,0,185,183,0,0,0,0,2,0,0,1,13,8,0,1,1,114,158,139,94,115,72,"odombl01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,159,139,152,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,23,0,3,0
49,2,100,7,0,"Joe","Rudi","",26,"1946-9-7",50945,206,0,200,188,0,0,0,0,2,0,0,-1,26,5,0,1,1,106,12,95,40,30,77,"rudijo01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,0,23,107,44,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,2,0,0,50,19,0,2,0
50,2,100,2,0,"Gene","Tenace","",25,"1946-10-10",65978,206,0,190,183,0,0,0,0,2,0,0,-1,38,3,0,1,1,98,100,128,122,94,129,"tenacge01","OAK",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,54,0,14,21,28,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,22,0,6,0
